Info,,LIBOR 6M,,Vol Black,Aout-04-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,EUR,Mid,,EUR Bloomberg CUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#######,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIBOR_DF,6 MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 MO,7 MO,8 MO,9 MO,10 MO,11 MO,1 YR,13 MO,14 MO,15 MO,16 MO,17 MO,18 MO,2 YR,3 YR,4 YR,5 YR,6 YR,7 YR,8 YR,9 YR,10 YR,11 YR,12 YR,15 YR,20 YR,25 YR,30 YR,35 YR,40 YR,45 YR,50 YR,,
0.998433,0.998191,0.997931,0.997691,0.997415,0.997195,0.996935,0.996665,0.996414,0.996139,0.995854,0.995577,0.995258,0.993255,0.987823,0.979543,0.967959,0.953613,0.935769,0.915451,0.893429,0.871151,0.84762,0.825001,0.758308,0.663728,0.588939,0.528298,0.4734,0.421191,0.380444,0.340292,,
#########,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SwaptionVol,ATM,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expiry,,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr,,,,,,,,,,,,,,,,,
,Strike,1.86,2.01,2.14,2.23,2.32,2.38,2.42,2.47,2.51,2.51,2.53,2.54,2.5,2.45,2.42,,,,,,,,,,,,,,,,,
7Yr,Vol,35.95,34.34,32.72,31.58,30.69,30.02,29.51,29.19,28.91,28.68,27.93,26.91,26.28,25.51,24.66,,,,,,,,,,,,,,,,,
,Strike,2.16,2.29,2.36,2.45,2.49,2.52,2.56,2.6,2.6,2.6,2.61,2.59,2.53,2.47,2.44,,,,,,,,,,,,,,,,,
8Yr,Vol,33.11,32.31,30.93,30.21,29.67,29.1,28.69,28.57,28.4,28.24,27.51,26.59,25.85,25.01,24.1,,,,,,,,,,,,,,,,,
,Strike,2.42,2.47,2.55,2.59,2.6,2.64,2.67,2.66,2.65,2.65,2.66,2.61,2.54,2.48,2.45,,,,,,,,,,,,,,,,,
9Yr,Vol,30.96,30.45,29.55,29.13,28.77,28.31,28.16,28.04,27.97,27.88,27.24,26.33,25.47,24.55,23.58,,,,,,,,,,,,,,,,,
,Strike,2.52,2.62,2.64,2.65,2.68,2.72,2.69,2.68,2.68,2.68,2.66,2.61,2.53,2.47,2.45,,,,,,,,,,,,,,,,,
10Yr,Vol,28.35,28.76,28.24,28.01,27.86,27.72,27.63,27.53,27.56,27.54,26.99,26.09,25.1,24.1,23.07,,,,,,,,,,,,,,,,,
,Strike,2.73,2.71,2.7,2.73,2.76,2.73,2.71,2.71,2.7,2.71,2.66,2.61,2.51,2.46,2.44,,,,,,,,,,,,,,,,,
12Yr,Vol,27.49,27.75,27.32,27.46,27.57,27.41,27.32,27.28,27.37,27.44,26.76,25.76,24.46,23.28,22.26,,,,,,,,,,,,,,,,,
,Strike,2.68,2.75,2.8,2.74,2.71,2.7,2.7,2.71,2.67,2.64,2.6,2.54,2.46,2.42,2.4,,,,,,,,,,,,,,,,,
15Yr,Vol,26.39,26.84,26.84,26.99,27.12,27.14,27.2,27.35,27.34,27.37,26.59,25.35,23.56,22.1,21.1,,,,,,,,,,,,,,,,,
,Strike,2.55,2.58,2.6,2.63,2.65,2.6,2.57,2.55,2.53,2.52,2.46,2.41,2.36,2.35,2.31,,,,,,,,,,,,,,,,,
20Yr,Vol,26.63,27.35,27.43,27.61,27.8,27.83,27.84,27.75,27.58,27.29,26.05,24.18,21.57,20.3,19.35,,,,,,,,,,,,,,,,,
,Strike,2.35,2.36,2.36,2.37,2.37,2.34,2.31,2.29,2.28,2.26,2.25,2.24,2.25,2.21,2.21,,,,,,,,,,,,,,,,,
25Yr,Vol,27.56,27.93,27.91,27.78,27.63,27.18,26.76,26.26,25.77,25.27,23.87,21.82,19.67,18.64,17.54,,,,,,,,,,,,,,,,,
